Access Control,Alcohol Notalcohol,Area Type1,A Crash,A People,Basetypedesc,Begin Node Dsc,Belted Unbelted,Bikeage,Bikegen,Bikeinjurytype,Bikevehiclenumber,Bike Nonbike,BMP,B Crash,B People,Carspeedlimit,Collision Type,Comm Cargo Body Type Cd,Comm Vehicle Body Type Cd,Cotedrouteid,Coted Mp,Count App,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Crash Year,Curbgutterdesc,C Crash,C People,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,MAINLINE,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Clear,Calculation_9640323132123359,Day Of Week,Deer Nodeer,Direction Of Travel Cd,Distracted Notdistracted,VSP,TOTAL CRASH,Document Nbr,Driverage,Drivergen,Driverinjurytype,Drivervehiclenumber,Driver Action Type Cd,Driver Airbag Deployment,Driver Alcohol Test Type Cd,Driver Condition Type Cd,Driver Distraction Type Cd,Driver Drinking Type Cd,Driver Drug Use Cd,Driver Ejected From Vehicle,Driver Ems Transport Ind,Driver Fled Scene Ind,Driver Safety Equip Used,Driver Vis Obscured Type Cd,Drowsy Notdrowsy,Drug Nodrug,EMP,End Node,End Node Dsc,End Offset,Facility,FAC,First Crash Event Cd,First Harmful Event,Fourth Crash Event Cd,Functionalclass,FUN,Govcondesc,Gr Nogr,Hitrun Not Hitrun,Initial Veh Impact Area Cd,Injury Crashes,Intersection Type,Int Doc,Jurtype,K_CRASH,K People,LAT (copy),LAT,Leftshoulderwidth,Length,Lgtruck Nonlgtruck,Light Condition,Located Unlocated,LON (copy),LON,MAINLINE (group),Mainline Yn,Medianleftshoulderwidth,Medianrightshoulderwidth,Mediantypedesc,Medianwidthmax,Medianwidthmin,Median Type,Most Harmful Crash Event Cd,Motor Nonmotor,Node,Node Info,Node Totaadt2011,Node Totaadt2012,Node Totaadt2013,Node Totaadt2014,Node Totaadt2015,Numberoflane,Number of Records,Offset,Ownership,Passage,Passgen,Passinjurytype,Passvehiclenumber,Pass Airbag Deployment,Pass Ejected From Vehicle,Pass Ems Transport Ind,Pass Safety Equip Used,Pavementconditionvalue,Pavementroughnessvalue,Pavementwidth,Pdo Crash,Total People Killed & Injured,Pedage,Pedestrians Injured,Pedestrians Killed,Pedgen,Pedinjurytype,Pednumber,Ped Action,Ped Al Test,Ped Cond,Ped Drink,Ped Drug,Ped Nonped,Ped Rflct,Persons Injured,Persons Killed,Physical Juris Nm,PJR,VSP_Used,Rd Type,Relation To Roadway,Rightshoulderwidth,RNS_MP (0.25 mi bin),Rns Mp,Roadway Alignment,Roadway Defect,Roadway Description,Roadway Surface Cond,Roadway Surface Type,Route Or Street Nm,Rte Category Cd,Rte Cat,Rte Nm,Ruralurbandesc,School Zone,Second Crash Event Cd,Segtotaadt2011,Segtotaadt2012,Segtotaadt2013,Segtotaadt2014,Segtotaadt2015,Senior Notsenior,Sidewalkdesc,Speed Before,Speed Max Safe,Speed Notspeed,Speed Posted,Start Node,Start Offset,Summons Issued Cd,Surfacedesc,Third Crash Event Cd,Time Slicing,Total Crashes including Property Damage Only,Total Crash,Traffic Control Type,Trfc Ctrl Status Type,Truckcommr,Vehiclenumber,Vehicle Body Type Cd,Vehicle Make Nm,Vehicle Maneuver Type Cd,Vehicle Model Nm,Vehicle Year Nbr,District,District_Used ,Weather Condition,Work Zone Location,Work Zone Related,Work Zone Type,Young Notyoung
No Access Control,Not ALCIHOL,Urban,1,1,Bituminous Concrete (Black Base),JB-137/NCL WILLIAMSBURG/,Not UNBELTED,22,Male,A,1,BIKE,237.72,0,0,,2. Angle,"Not Provided,3. Van/Enclosed Box","Not Provided,9. Tractor/Semi-trailer (One Trailer)",US00060,237.959,3,9/2/2011,9/2/2011,22. Bicycle,1323,A.Ambulatory Injury,2011,Left and Right sides,0,0,Williamsburg,Urban,22. Bicycle,MAIN,12PM TO 3PM,137.Williamsburg,692,Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"East,North",,5,1,112580013,34,Male,"A,PDO","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","3. Unavailable/Not Applicable,1. Deployed - Front","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","8. No Restraint Used,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,238,398769,JB-137/NCL WILLIAMSBURG/,1.26,0,"0.Two-way, non-divided","20,22",4. Roadside,"0,0",E,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"9,2",1,1. Not at Intersection,112580013,C,0,0,37.293412,37.293412,0,0.26,LRTRUCK,2. Daylight,LOCATED,-76.724537,-76.724537,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,19",Not MOTORCYCLE,398768,398768.  US00060       US00060      13707081,30194,29526,29871,28807,29391,4,1,0.131,PRI_URBAN,,,,,,,,,0,143,64,0,1,,0,0,,,,,,,,,Not PED,,1,0,Williamsburg,137,5,NOT-RD,8. Non-Intersection,0,237.75,237.96,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",1621 RICHMOND RD,USPRI,US,R-VA   US00060EB,"Urbanized (Population 200,000 and over)",3. No,"39,19",22422,21926,20109,19393,19786,Not SENIOR,Left and Right sides,"0,5","0,25",Not SPEED,"0,25",398769,1,"2. No,2. No",0,"0,0",12PM TO 3PM,1,1,1. No Traffic Control,6. No Traffic Control Device Present,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,23. Truck - Single Unit Truck (3 Axles or More)","BICYCLE,INTL","1. Going Straight Ahead,2. Making Right Turn",TRK,2007,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
Full Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),IS-00664-W010A(L)/RAMP FR I-664_NB(R)/,Not UNBELTED,35,Male,PDO,2,BIKE,0.88,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13108529,1.008,3,9/3/2011,9/3/2011,22. Bicycle,2015,PDO.Property Damage Only,2011,Left and Right sides,0,0,Chesapeake,Urban,22. Bicycle,MAIN,6PM TO 9PM,131.Chesapeake,11,Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"West,East",,5,1,112840028,19,Male,"PDO,PDO","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","NotProvided,No","No,No","3. Lap and Shoulder Belt,5. Helmet","1. Not Obscured,1. Not Obscured",,,1,723037,131-08530(R)/TAYLOR ROAD,0,3,"3.Divided, full control of access","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"2,12",0,4. Four Approaches,112840028,C,0,0,36.848133,36.848133,0,0.13,Not LRTRUCK,4. Darkness - Road Lighted,LOCATED,-76.426633,-76.426633,MAINLINE,MAIN,0,0,Curbed Grass,16,4,Divided Roadway,"22,20",Not MOTORCYCLE,723037,723037. 13108529      13108529      13108530,28353,27725,27882,29415,30000,4,1,0.002,SEC_URBAN,,,,,,,,,4,0,54,1,0,,0,0,,,,,,,,,Not PED,,0,0,Chesapeake,131,5,NOT-RD,9. Within Intersection,0,1,1.01,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",pughsville rd,URB,UR,R-VA131UR08529SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",20719,20260,20375,22885,23340,Not SENIOR,Left and Right sides,"15,0","40,40",Not SPEED,"40,40",723035,0,"2. No,2. No",0,"0,0",6PM TO 9PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",volkswagen,"3. Making Left Turn,1. Going Straight Ahead","gti,bicycle",2005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Rural,1,1,Bituminous Concrete (Black Base),OCEAN BOULEVARD(R)/,Not UNBELTED,54,0,A,1,BIKE,0.38,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",19001623,0.429,4,9/3/2011,9/3/2011,22. Bicycle,746,A.Ambulatory Injury,2011,Left and Right sides,0,0,Chincoteaque,Rural,22. Bicycle,MAIN,6AM TO 9AM,190.Chincoteaque,5,Intersection,Reset Filters,VDOT_OTHER,Saturday,Not DEER,"North,East",DISTRACTED,5,1,112555173,18,Female,"A,PDO","1,2","37. Other,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,7. Eyes Not on Road","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,0,106005,SR-00175(L)/190-00001(R)/MAIN ST @ MADDON BLV,0,0,"0.Two-way, non-divided","20,22",1. On Roadway,"0,0",4,4.Rural Major Collector,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"10,12",1,4. Four Approaches,112555173,T,0,0,37.93727808,37.93727808,0,0.05,Not LRTRUCK,2. Daylight,LOCATED,-75.37110679,-75.37110679,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,22",Not MOTORCYCLE,106005,106005.  SR00175      19000001      19001623      19001623,12516,12631,12747,13250,13372,2,1,0.001,VDOT_SEC,,,,,,,,,0,0,34,0,1,,0,0,,,,,,,,,Not PED,,1,0,Chincoteaque,190,5,NOT-RD,9. Within Intersection,0,0.25,0.43,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",MAIN STREET,URB,UR,R-VA190UR01623NB,Rural,3. No,"0,0",8377,8454,8532,8686,8766,Not SENIOR,Left and Right sides,15,25,Not SPEED,25,105996,0,"2. No,2. No",0,"0,0",6AM TO 9AM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car",NISSAN,"1. Going Straight Ahead,1. Going Straight Ahead",ALTIMA,1998,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),UPPER CHESLA REA(R)RIVER RD(L)(B)/,Not UNBELTED,21,Female,B,2,BIKE,3.88,1,1,,3. Head On,"Not Provided,Not Provided","Not Provided,Not Provided",SR00279,3.887,3,9/7/2011,9/7/2011,22. Bicycle,1500,B.Visiible Injury,2011,Left and Right sides,0,0,Virginia Beach,Urban,22. Bicycle,MAIN,12PM TO 3PM,134.Virginia Beach,"6,373",Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"East,North",DISTRACTED,5,1,112605152,64,Female,"PDO,B","1,2","Not Applicable,Not Applicable","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","11. Other,11. Other","1. Had Not Been Drinking,1. Had Not Been Drinking","Not Applicable,Not Applicable","1. Not Ejected,3. Totally Ejected","No,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","Not Applicable,1. Not Obscured",,,4,541234,THOMAS BISHOP LANE(R)/,0,1,"1.Divided, no control of access","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"12,9",1,4. Four Approaches,112605152,C,0,0,36.891669,36.891669,0,0.61,Not LRTRUCK,2. Daylight,LOCATED,-76.055234,-76.055234,MAINLINE,MAIN,0,0,Curbed Grass,40,4,Divided Roadway,"22,20",Not MOTORCYCLE,541230,541230.  SR00279       SR00279      13408715,47094,37375,37720,36350,36829,4,1,1.207,PRI_URBAN,,,,,,,,,0,0,52,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,RD-UNKNOWN,9. Within Intersection,0,3.75,3.89,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",1500 BLK NORTH GREAT NECK RD,STPRI,SR,R-VA   SR00279SB,"Urbanized (Population 200,000 and over)",3. No,"0,0",37780,34644,34964,33695,30384,Not SENIOR,Left and Right sides,"10,5","45,45",Not SPEED,"45,45",541233,0,"2. No,2. No",0,"0,0",12PM TO 3PM,1,1,4. Stop Sign,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle","Mercedes Benz,GIANT","1. Going Straight Ahead,1. Going Straight Ahead","C260,CRUISER",20032009,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),134-08638(B)/WESLEYAN DR,Not UNBELTED,15,Male,B,1,BIKE,0.44,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",13400008,0.449,4,9/9/2011,9/9/2011,20. Motor Vehicle In Transport,1637,B.Visiible Injury,2011,Left and Right sides,0,0,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,3PM TO 6PM,134.Virginia Beach,48,Intersection,Reset Filters,VDOT_OTHER,Friday,Not DEER,"East,South",DISTRACTED,5,1,112595159,62,Male,"B,PDO","1,2","21. Disregarded Traffic Signal,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","11. Other,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,11. Moving Vehicle(s)",,,1,724429,FALLBROOK BEND(R)/,0,1,"1.Divided, no control of access","20,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Other City or Town Streets (not state maintained),Not GUARDRAIL,Not HIT_RUN,"9,12",1,4. Four Approaches,112595159,C,0,0,36.871335,36.871335,0,0.15,Not LRTRUCK,2. Daylight,LOCATED,-76.171802,-76.171802,MAINLINE,MAIN,0,0,Curbed Grass,22,4,Divided Roadway,"20,20",Not MOTORCYCLE,541365,541365. 13400008      13400008      13408638      13408638,38995,36861,37202,35852,37003,4,1,0.009,SEC_URBAN,,,,,,,,,0,0,54,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,0,0.25,0.44,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",DIAMOND SPRINGS RD.,URB,UR,R-VA134UR00008NB,"Urbanized (Population 200,000 and over)",3. No,"0,0",19971,20637,20828,20072,19349,Not SENIOR,Left and Right sides,"3,5","45,45",Not SPEED,"45,45",541365,0,"2. No,2. No",0,"0,0",3PM TO 6PM,1,1,3. Traffic Signal,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,4. Truck - Single Unit Truck (2-Axles)","UNK,NISSAN","1. Going Straight Ahead,3. Making Left Turn","UNK,MURANO",2005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
,Not ALCIHOL,Urban,1,1,,,Not UNBELTED,22,Female,A,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,9/12/2011,9/12/2011,22. Bicycle,1429,A.Ambulatory Injury,2011,,0,0,Hampton,Urban,22. Bicycle,MAIN,12PM TO 3PM,114.Hampton,,Not Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"North,East",,5,1,113010159,23,Female,"PDO,A","1,2","11. Did Not Have Right-of-Way,1. No Improper Action","2. Not Deployed,3. Unavailable/Not Applicable","Not Applicable,Not Applicable","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,No","No,No","3. Lap and Shoulder Belt,8. No Restraint Used","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,4",1,3. Three Approaches,,C,0,0,37.023989,37.023989,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.331414,-76.331414,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",SELTTLERS LANDING ROAD,UNKWN,SC,U-VA114SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"10,0","25,25",Not SPEED,"25,25",,,"1. Yes,2. No",,"0,0",12PM TO 3PM,1,1,3. Traffic Signal,1. Yes - Working,,"1,2","1. Passenger car,9. Bicycle","HONDA,MURRAY","2. Making Right Turn,1. Going Straight Ahead","4DR,BICYCLE",2005,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,52,Male,C,2,BIKE,,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,9/12/2011,9/12/2011,20. Motor Vehicle In Transport,915,C.Non-Visible Injury,2011,,1,1,Virginia Beach,Urban,20. Motor Vehicle In Transport,MAIN,9AM TO 12PM,134.Virginia Beach,,Not Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"North,West",,5,1,113165184,30,Male,"PDO,C","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","Not Applicable,Not Applicable","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","5. Trees, Crops, etc.,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"12,9",1,3. Three Approaches,,C,0,0,36.867673,36.867673,,,Not LRTRUCK,1. Dawn,UNLOCATED,-76.043444,-76.043444,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Virginia Beach,134,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",1201 MEADOW LAKE RD,UNKWN,SC,U-VA134SC99999UK,,3. No,"0,0",,,,,,Not SENIOR,,"2,3","45,45",Not SPEED,"45,45",,,"2. No,2. No",,"0,0",9AM TO 12PM,1,1,4. Stop Sign,1. Yes - Working,,"1,2","1. Passenger car,9. Bicycle","JEEP,UBK","2. Making Right Turn,1. Going Straight Ahead","CHEROKEE,UNK",2003,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Rural,0,0,"Stabilized with Selected Material (Soil,Gravel,Stone,etc.)",46-01402(L)/46-09203(R)/,Not UNBELTED,14,Female,B,1,BIKE,4.85,1,1,55,4. Sideswipe - Same Direction,"Not Provided,Not Provided","Not Provided,Not Provided",C1SR00010,5.289,4,9/12/2011,9/12/2011,22. Bicycle,2019,B.Visiible Injury,2011,None,0,0,Isle of Wight,Rural,22. Bicycle,MAIN,6PM TO 9PM,46.Isle of Wight,"2,318",Intersection,Reset Filters,VDOT_OTHER,Monday,Not DEER,"East,East",,5,1,112595139,26,Female,"B,PDO","1,2","28. Driving Without Lights,1. No Improper Action","3. Unavailable/Not Applicable,2. Not Deployed","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","3. Unknown,3. Unknown","3. Totally Ejected,1. Not Ejected","Yes,No","No,No","9. Not Applicable,3. Lap and Shoulder Belt","1. Not Obscured,1. Not Obscured",,,5,745956,SMITHFIELD APTS. LANE(L)/,0,0,"0.Two-way, non-divided","20,22",1. On Roadway,"0,0",4,4.Rural Major Collector,State Primary and Interstate,Not GUARDRAIL,Not HIT_RUN,"11,2",1,1. Not at Intersection,112595139,N,0,0,37.019086,37.019086,6,0.47,Not LRTRUCK,5. Darkness - Road Not Lighted,LOCATED,-76.641372,-76.641372,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"20,28",Not MOTORCYCLE,393324,393324.  4601402       4609203     C1SR00010     C1SR00010,1639,1652,1666,1637,1650,2,1,0.439,VDOT_PRI,,,,,,,,,0,93,22,0,1,,0,0,,,,,,,,,Not PED,,1,0,Isle of Wight,46,5,NOT-RD,1. Main-Line Roadway,6,5.25,5.29,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",RT 10 (BUSINESS),STPRI,SR,R-VA   SR00010NBBUS001,Rural,3. No,"0,28",1440,1453,1467,1438,1451,Not SENIOR,None,"5,60","55,55",SPEED,"55,55",393324,0,"2. No,2. No",0,"0,0",6PM TO 9PM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","9. Bicycle,1. Passenger car","HUFFY,NISSIAN","1. Going Straight Ahead,1. Going Straight Ahead","BIKE,ALTIMA",20092010,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
No Access Control,Not ALCIHOL,Urban,0,0,Bituminous Concrete (Black Base),LYNHAVEN DRIVE(L)/,Not UNBELTED,48,Female,C,2,BIKE,3.39,0,0,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",SR00152,3.439,3,9/13/2011,9/13/2011,22. Bicycle,1242,C.Non-Visible Injury,2011,Left and Right sides,1,1,Hampton,Urban,22. Bicycle,MAIN,12PM TO 3PM,114.Hampton,"1,209",Intersection,Reset Filters,VDOT_OTHER,Tuesday,Not DEER,"North,West",,5,1,112980157,59,Female,"PDO,C","1,2","1. No Improper Action,11. Did Not Have Right-of-Way","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","Not Applicable,Not Applicable","1. Had Not Been Drinking,1. Had Not Been Drinking","3. Unknown,3. Unknown","1. Not Ejected,1. Not Ejected","No,Yes","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,4,253070,LYNHAVEN DRIVE(L)/,0.11,0,"0.Two-way, non-divided","22,20",1. On Roadway,"0,0",H,H.Urban Minor Arterial,Urban Extensions - Primary Routes,Not GUARDRAIL,Not HIT_RUN,"11,0",1,1. Not at Intersection,112980157,C,0,0,37.04072,37.04072,0,0.11,Not LRTRUCK,2. Daylight,LOCATED,-76.406047,-76.406047,MAINLINE,MAIN,0,0,0,0,0,Undivided Roadway,"22,20",Not MOTORCYCLE,253068,253068.  SR00152       SR00152      11407025,23815,23289,22824,22011,22457,4,1,0.229,PRI_URBAN,,,,,,,,,2.8,0,44,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,8. Non-Intersection,0,3.25,3.46,1. Straight - Level,1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Dry,"2. Blacktop, Asphalt, Bituminous",TODDS LANE,STPRI,SR,R-VA   SR00152EB,"Urbanized (Population 200,000 and over)",3. No,"0,0",20390,19939,21430,20667,21086,Not SENIOR,Left side,"25,10","25,40",Not SPEED,"25,40",253070,0,"2. No,1. Yes",0,"0,0",12PM TO 3PM,1,1,6. Traffic Lanes Marked,1. Yes - Working,Not a Parkway - Trucks and Commercial Vehicles Allowed,"1,2","1. Passenger car,9. Bicycle",NEON,"2. Making Right Turn,1. Going Straight Ahead",DODGE,1998,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,Not YOUNG
,Not ALCIHOL,Urban,0,0,,,Not UNBELTED,16,Female,B,2,BIKE,,1,1,,2. Angle,"Not Provided,Not Provided","Not Provided,Not Provided",,,,9/14/2011,9/14/2011,22. Bicycle,1657,B.Visiible Injury,2011,,0,0,Hampton,Urban,22. Bicycle,MAIN,3PM TO 6PM,114.Hampton,,Not Intersection,Reset Filters,VDOT_OTHER,Wednesday,Not DEER,"East,North",DISTRACTED,5,1,112980164,79,Female,"PDO,B","1,2","1. No Improper Action,22. Disregarded Stop or Yield Sign","2. Not Deployed,3. Unavailable/Not Applicable","4. No Test,4. No Test","1. No Defects,1. No Defects","11. Other,11. Other","1. Had Not Been Drinking,1. Had Not Been Drinking","2. No,2. No","1. Not Ejected,1. Not Ejected","No,No","No,No","3. Lap and Shoulder Belt,9. Not Applicable","1. Not Obscured,1. Not Obscured",,,,,,,,,"22,20",1. On Roadway,"0,0",,,,Not GUARDRAIL,Not HIT_RUN,"1,12",1,4. Four Approaches,,C,0,0,37.03567,37.03567,,,Not LRTRUCK,2. Daylight,UNLOCATED,-76.355502,-76.355502,MAINLINE,,,,,,,,"22,20",Not MOTORCYCLE,,.,,,,,,,1,,SEC_URBAN,,,,,,,,,,,,0,1,,0,0,,,,,,,,,Not PED,,1,0,Hampton,114,5,NOT-RD,9. Within Intersection,,,,1. Straight - Level,1. No Defects,"1. Two-Way, Not Divided",1. Dry,"2. Blacktop, Asphalt, Bituminous",GUY ST,UNKWN,SC,U-VA114SC99999UK,,3. No,"0,0",,,,,,SENIOR,,"10,5","25,25",Not SPEED,"25,25",,,"2. No,2. No",,"0,0",3PM TO 6PM,1,1,4. Stop Sign,1. Yes - Working,,"1,2","1. Passenger car,9. Bicycle","FORD,MONGOOSE","1. Going Straight Ahead,1. Going Straight Ahead","FOCUS,NEXT",2011,5,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),Not Provided,2. No,Not Provided,YOUNG
